timestamp,cpu_usage,cpu_freq,ram_usage,temp
1777808497.2345333,0.2,2400.0,13.7,44.65
1777808498.235613,0.0,2400.0,13.7,46.3
1777808499.2362425,0.0,2400.0,13.7,45.2
1777808500.2368126,0.0,2400.0,13.7,46.3
1777808501.237364,0.2,2400.0,13.7,45.2
1777808502.2378957,0.0,1500.0,13.7,44.65
1777808503.2385912,0.0,1500.0,13.7,45.75
1777808504.2393725,0.0,1500.0,13.7,45.2
1777808505.2401311,0.0,1500.0,13.7,45.75
1777808506.2408898,0.0,1500.0,13.7,45.2
1777808507.2416008,0.0,1500.0,13.7,44.65
1777808508.2423072,0.0,1500.0,13.7,44.65
1777808509.2430518,0.0,1500.0,13.7,46.3
1777808510.243842,0.0,1500.0,13.7,44.65
1777808511.244586,0.2,1500.0,13.7,45.2
1777808512.2453132,0.0,1500.0,13.7,44.1
1777808513.2459881,0.0,1500.0,13.6,45.75
1777808514.2466943,0.0,1500.0,13.6,44.1
1777808515.2474585,0.0,1500.0,13.6,45.2
1777808516.2482314,0.0,1500.0,13.6,44.65
1777808517.2489815,0.0,1500.0,13.6,44.1
1777808518.2496884,0.0,1500.0,13.6,44.1
1777808519.2503827,0.0,1500.0,13.6,45.2
1777808520.2511017,0.0,1500.0,13.6,45.2
1777808521.2518113,0.3,1500.0,13.6,44.1
1777808522.2526023,0.0,1500.0,13.6,44.1
1777808523.2533634,0.0,1500.0,13.6,44.1
1777808524.254064,0.0,1500.0,13.6,44.1
1777808525.2547612,0.0,1500.0,13.6,45.2
1777808526.255502,0.0,1500.0,13.6,43.55
1777808527.2562296,0.0,1500.0,13.6,45.2
1777808528.2570114,0.0,1500.0,13.6,45.75
1777808529.25774,0.0,1500.0,13.6,44.1
1777808530.2584577,0.0,1500.0,13.6,44.1
1777808531.2591832,0.0,1500.0,13.6,45.75
1777808532.2598917,0.0,1500.0,13.6,44.1
1777808533.2605772,0.0,1500.0,13.6,45.2
1777808534.2613013,0.0,1500.0,13.6,44.1
1777808535.262014,0.0,1500.0,13.6,44.65
1777808536.2627058,0.0,1500.0,13.6,45.2
1777808537.2634122,0.0,1500.0,13.6,45.75
